session_id,variant,completed,completion_time_sec,questions_answered,revision_events,friction_events,engagement_depth
A001,A,0,970.7,5,0,0,0.5
A002,A,1,900.0,10,1,0,1.0
A003,A,0,695.1,6,0,0,0.6
A004,A,0,1261.0,4,0,0,0.4
A005,A,0,871.7,7,2,0,0.7
A006,A,1,1886.8,10,3,0,1.0
A007,A,0,1145.8,5,0,0,0.5
A008,A,1,1631.5,10,3,0,1.0
A009,A,0,1238.2,6,0,0,0.6
A010,A,1,1737.3,10,6,0,1.0
A011,A,1,1114.8,10,1,0,1.0
A012,A,0,1424.0,7,1,0,0.7
A013,A,1,1710.8,10,0,0,1.0
A014,A,1,1646.2,10,4,0,1.0
A015,A,0,1362.2,4,0,0,0.4
A016,A,0,674.0,6,1,0,0.6
A017,A,0,2123.8,1,0,0,0.1
A018,A,1,1148.2,10,0,0,1.0
A019,A,0,1100.6,6,1,0,0.6
A020,A,0,1419.2,8,2,0,0.8
A021,A,0,1505.6,3,0,0,0.3
A022,A,0,729.8,6,1,0,0.6
A023,A,1,1429.2,10,3,0,1.0
A024,A,1,1347.1,10,4,0,1.0
A025,A,1,978.0,10,4,0,1.0
A026,A,1,1379.0,10,1,1,1.0
A027,A,1,1556.2,10,2,0,1.0
A028,A,1,1536.6,10,3,0,1.0
A029,A,1,1581.6,10,0,0,1.0
A030,A,1,1245.4,10,1,1,1.0
A031,A,1,1546.8,10,0,0,1.0
A032,A,0,583.8,5,0,0,0.5
A033,A,0,1402.0,6,0,0,0.6
A034,A,0,597.8,9,2,0,0.9
A035,A,1,914.4,10,3,0,1.0
A036,A,0,1026.8,7,2,0,0.7
A037,A,0,1645.0,8,2,0,0.8
A038,A,0,1335.1,8,3,0,0.8
A039,A,1,1805.4,10,3,0,1.0
A040,A,0,1750.6,9,4,0,0.9
A041,A,1,1482.1,10,2,0,1.0
A042,A,0,868.4,4,0,0,0.4
A043,A,0,593.7,7,0,0,0.7
A044,A,0,1561.7,7,2,0,0.7
A045,A,0,982.5,5,1,0,0.5
A046,A,0,1504.2,6,0,0,0.6
